Equipo,Juegos,A̱o,Medallas
Mexico,1924 Verano,1924-01-01,0
Mexico,1928 Invierno,1928-01-01,0
Mexico,1928 Verano,1928-01-01,0
Mexico,1932 Verano,1932-01-01,2
Mexico,1936 Verano,1936-01-01,16
Mexico,1948 Verano,1948-01-01,9
Mexico,1952 Verano,1952-01-01,1
Mexico,1956 Verano,1956-01-01,2
Mexico,1960 Verano,1960-01-01,1
Mexico,1964 Verano,1964-01-01,1
Mexico,1968 Verano,1968-01-01,9
Mexico,1972 Verano,1972-01-01,1
Mexico,1976 Verano,1976-01-01,2
Mexico,1980 Verano,1980-01-01,10
Mexico,1984 Invierno,1984-01-01,0
Mexico,1984 Verano,1984-01-01,6
Mexico,1988 Invierno,1988-01-01,0
Mexico,1988 Verano,1988-01-01,2
Mexico,1992 Invierno,1992-01-01,0
Mexico,1992 Verano,1992-01-01,1
Mexico,1994 Invierno,1994-01-01,0
Mexico,1996 Verano,1996-01-01,1
Mexico,2000 Verano,2000-01-01,6
Mexico,2002 Invierno,2002-01-01,0
Mexico,2004 Verano,2004-01-01,4
Mexico,2008 Verano,2008-01-01,4
Mexico,2010 Invierno,2010-01-01,0
Mexico,2012 Verano,2012-01-01,24
Mexico,2014 Invierno,2014-01-01,0
Mexico,2016 Verano,2016-01-01,5
Mexico,2020 Verano,2020-01-01,18
